,agent_k_avail_ideas_flat,agent_perceived_return_avail_ideas_flat,agent_actual_return_avail_ideas_flat
773,6,2.633994471353618,4.3355735461670655
528,6,22.779097660154658,58.07014501503605
508,6,85.81489350995123,3.229546469845052
1344,6,86.70357598021707,17.428532117858545
738,6,11.513278430622165,26.86060712395286
1093,6,90.02495108803149,24.17961724074101
748,6,11.398279632855935,18.209017367588988
758,6,3.615737707907385,81.35043384777475
1203,6,8.562017782801334,97.79436523220123
518,6,76.85247834990176,1.798620996209156
1108,6,0.0,0.0
1359,6,77.72998611746911,10.802156134341919
1213,6,7.162191648221006,49.59298622841038
1238,6,3.017739566586841,1.391607224619543
1223,6,8.562017782801334,97.79436523220123
543,6,13.172472738129725,2.943966321547522
613,7,11.673029886548303,40.37288262518642
1005,7,79.1391472673955,0.48047528871595185
623,7,0.0,0.0
1350,7,11.03163333030298,41.003306303338775
603,7,11.673029886548303,40.37288262518642
1325,7,5.280991091364373,10.660026771743796
1335,7,11.03163333030298,41.003306303338775
64,7,20.91159271559685,22.151554819242833
1315,7,82.79871670642386,42.90534031165337
1305,7,82.79871670642386,42.90534031165337
990,7,93.5030830871336,1.798620996209156
588,7,0.8514319473958532,16.758588503484003
74,7,0.0,0.0
816,7,42.37598720709563,51.96753062846028
84,7,23.58554429812909,52.7020946304703
826,7,31.862057709208425,16.61573964527433
836,7,11.877236494079312,67.5509318472393
851,7,8.989069127076132,23.10585786300049
54,7,20.91159271559685,22.151554819242833
573,7,1.0863548054606875,56.48824577902813
99,7,4.6241282544686175,2.03089198636318
514,7,8.79317204814255,60.68017846336902
504,7,91.16003227929417,8.317269649392237
563,7,1.0651592500126816,44.577137536054245
553,7,1.0863548054606875,56.48824577902813
524,7,8.83363205153086,79.762438148396
539,7,7.041346724496678,11.464341494749588
727,8,9.622555211209205,6.179455297799807
565,8,85.19528019683106,0.48047528871595185
1567,8,5.937697977490708,80.93010702017811
1440,8,17.52054447081005,37.00298395761418
1494,8,19.214094571448715,27.427446210551874
1543,8,0.0,0.0
1284,8,77.24543828071839,24.508501313237172
575,8,0.015667587588930054,1.7940812093389158
1299,8,0.0,0.0
1126,8,36.21583430350643,31.464576862043348
1547,8,31.560117513104867,54.81128738425526
303,8,11.920066169781974,31.464576862043348
338,8,10.121671206002613,3.5057632047683946
1557,8,13.839577701825068,1.5248603708110844
1116,8,36.21583430350643,31.464576862043348
323,8,11.920209049408992,35.56454918659483
1455,8,2.325772596586717,1.4384347710193368
1102,8,9.46218769864604,20.397225224133102
242,8,0.0,0.0
313,8,11.920066169781974,31.464576862043348
712,8,88.07970779778823,1.4063627043245475
1087,8,28.468589888763105,92.83379799470511
212,8,17.92962965746886,25.487779432674962
590,8,0.015229204450029066,1.774589824927264
555,8,93.99133498259924,1.798620996209156
1582,8,0.0,0.0
1077,8,13.121936044823768,5.565320978359738
1067,8,27.363843323714153,49.06840406549333
1136,8,0.0,0.0
227,8,17.92962965746886,25.487779432674962
1528,8,11.673029886548303,11.886757189165108
369,9,0.0,0.0
123,9,16.118265414847833,9.897188482363603
354,9,15.750109715924232,46.666130081855556
113,9,16.118265414847833,9.897188482363603
1354,9,2.910880377330116,72.76111273284413
858,9,0.05252429458089125,26.852478349901755
843,9,37.69878901612218,44.26758241011312
1339,9,2.9253939485695213,73.04056132924521
158,9,0.8123386980045222,1.5833500900684832
807,9,50.0,2.931223075135632
713,9,20.57073358607242,4.70905230471003
133,9,0.0,0.0
1329,9,1.5248603708110764,23.10585786300049
290,9,0.0,0.0
771,9,0.5486141629533647,9.128682101516045
275,9,95.25741268224334,11.920292202211755
1319,9,2.9253939485695213,73.04056132924521
143,9,4.9878057143870835,38.079707797788245
756,9,1.3152575848844994,49.21583696861941
746,9,10.82159793915245,28.52052734308577
1309,9,97.06877692486437,26.89414213699951
736,9,11.062543660840573,33.217391954420115
728,9,0.0,0.0
1552,9,81.75744761936437,0.6692850924284856
792,9,83.20183851339245,10.278402491725178
1120,9,8.67719794853975,28.349441348047755
1014,9,2.5238473626437052,36.34770417548998
965,9,1.9452432902432482,1.0098985833437324
950,9,11.251007109783295,58.51324438577251
1197,9,20.1394730230366,9.127932718321336
1049,9,0.06862344241672647,0.7076303156974939
1048,9,0.0,0.0
981,9,99.33071490757153,18.242552380635637
940,9,15.865038864465397,13.006098806959793
1562,9,26.89414213699951,2.0611536181902038e-07
1182,9,73.1058578630005,0.40701377158961277
1034,9,0.06862344241672647,0.7076303156974939
1033,9,0.020331444289312106,87.67269402619861
926,9,0.0,0.0
996,9,0.6692019396256965,77.0148603016077
930,9,18.568767645714402,41.98372891521104
1587,9,0.22237517121773687,3.933822190216318e-06
1572,9,29.72695130208516,99.98765640246383
1130,9,0.0,0.0
911,9,0.017104210665341846,30.983435819401382
1024,9,1.8434422423706076,25.833774677602772
1110,9,8.67719794853975,28.349441348047755
1023,9,0.019329698707437615,7.178804230534741
1013,9,0.020331444289312106,87.67269402619861
442,10,0.0,0.0
415,10,8.495222590549467,16.44393138442648
1447,10,0.0,0.0
640,10,0.0045356469326796045,25.946127498706023
263,10,4.730247860158032,73.07232284995384
1362,10,18.054174416293677,7.178804230534741
427,10,18.752437821733746,13.398357098844398
1143,10,8.497645742641213,34.11561150417808
1527,10,15.521298531647298,4.3355735461670655
630,10,0.004539776608358803,54.81234162271247
1523,10,8.497645742641213,10.821597939152436
41,10,21.45410388275343,24.08870985290407
266,10,1.7576642797105468,31.675116310871097
430,10,8.495222590549467,16.44393138442648
424,10,11.996979396435714,18.190876818629075
45,10,11.251007109783295,23.161453402586567
439,10,0.0,0.0
273,10,4.741972900296442,99.55945121536375
211,10,34.021378145401606,8.76220541354109
445,10,0.0,0.0
1422,10,10.268534210372337,35.24606244090212
16,10,27.801628938747857,62.08360607842657
241,10,0.8014656592773006,1.9452432902432413
502,10,50.0,4.043956481800324
1129,10,17.662839261769705,45.25741268224332
1503,10,8.497645742641213,10.821597939152436
1412,10,12.386485493839617,66.60894095013407
1091,10,98.90130573694069,0.6692850924284856
512,10,35.43436937742045,2.4924426647114037
1083,10,9.851180975202967,41.2211117418277
477,10,53.98821954455736,72.436572770572
522,10,12.707703320721464,42.37011015813996
1432,10,1.076991503384539,15.406435199375556
1073,10,4.820290287131856,10.46152603187617
1139,10,0.0,0.0
226,10,34.021378145401606,8.76220541354109
537,10,0.0,0.0
253,10,95.25741268224334,0.03353501304664781
30,10,88.07970779778823,3.7326887344129456
1397,10,0.0,0.0
467,10,45.016600268752214,0.6692850924284856
1137,10,0.010669315413835978,0.4294091706308324
1513,10,6.745502442123463,3.64389305469736
1063,10,9.540997962395315,37.76252270811575
1119,10,17.662839261769705,45.25741268224332
256,10,5.436438865007364,46.21171572600098
34,10,68.99744811276125,14.804719803168947
49,10,0.0,0.0
457,10,83.20183851339245,6.008665017400762
1382,10,10.043623903885312,47.068776924864366
26,10,29.195377340399943,78.90105147561654
650,10,0.0006144160714205427,57.07086720575993
1372,10,13.757021183918837,2.524209303546019
1153,10,8.497645742641213,34.11561150417808
1188,10,4.242631322081647,9.653088265834386
139,10,9.653088265834386,3.7814855788587702
1098,10,0.0,0.0
382,10,18.752437821733746,13.398357098844398
776,10,1.8113642426210275,0.15975145592613532
134,10,0.0,0.0
1127,10,49.98766054240137,0.5983180525184267
294,10,0.27944859640108843,30.163803037724758
379,10,11.996979396435714,18.190876818629075
129,10,35.30938617193389,55.749016207319045
1106,10,1.0075891436192586,2.7752344741926316
761,10,4.709052304710026,26.646879821336032
124,10,8.989069127076132,49.67531753690366
119,10,60.55324872205857,6.496916912866407
841,10,21.462815523735447,35.45632988881198
90,10,8.79317204814255,48.20137900379085
856,10,0.0,0.0
114,10,8.989069127076132,49.67531753690366
6,10,69.70592839654074,6.913842034334682
862,10,7.104426150964804,18.092434154961936
872,10,0.0,0.0
1234,10,20.683557273125274,39.34603476545361
105,10,0.0,0.0
1117,10,49.98766054240137,0.5983180525184267
1249,10,0.0,0.0
144,10,10.39357681417432,60.33205191541495
492,10,31.835878081149538,3.06340364198446
1163,10,0.0,0.0
1538,10,0.0,0.0
412,10,18.752437821733746,13.398357098844398
281,10,0.0,0.0
665,10,0.0,0.0
399,10,0.0,0.0
409,10,11.996979396435714,18.190876818629075
402,10,0.0,0.0
164,10,25.94310898566118,20.397225224133102
392,10,18.752437821733746,13.398357098844398
389,10,11.996979396435714,18.190876818629075
1542,10,0.0,0.0
246,10,6.464214718240557,65.52003986087614
149,10,37.06745703812497,69.75728025274334
1173,10,8.762205413541091,37.34108233616597
288,10,3.8109913832499953,0.373478758542965
279,10,99.65525486984363,32.0821300824607
159,10,0.0,0.0
478,11,9.50882745800138,80.65875335630504
1096,11,0.0,0.0
1109,11,0.0,0.0
407,11,7.494712882684285,54.6601151180611
480,11,81.75744761936437,8.317269649392237
347,11,99.75273768433654,1.798620996209156
332,11,6.852008635413354,23.96291906186388
350,11,42.329834042191465,29.15090700732507
362,11,0.24723172544076633,5.787197005915198
468,11,9.28768417424748,30.983435819401382
422,11,7.494712882684285,54.6601151180611
406,11,4.9900822823446545,27.33954276470404
387,11,36.19653190929585,5.787197005915198
365,11,0.0,0.0
376,11,4.9900822823446545,27.33954276470404
377,11,36.19653190929585,5.787197005915198
458,11,90.46505351008905,1.098694263059318
436,11,0.0,0.0
397,11,6.916532909695872,22.708253601334917
437,11,2.8432306843676813,2.692584489600823
396,11,0.0,0.0
1094,11,90.46505351008905,8.839967720705841
421,11,4.9900822823446545,27.33954276470404
386,11,4.9900822823446545,27.33954276470404
892,11,3.8109913832499953,15.217625395663037
495,11,11.745635467769233,18.576872487607275
699,11,26.89414213699951,1.798620996209156
709,11,30.831493778703432,11.144323170334838
995,11,77.72998611746911,7.585818002124355
984,11,70.20633698789295,0.9315959345066686
1295,11,0.0,0.0
317,11,8.650597030591866,78.82622454422872
980,11,90.46505351008905,18.242552380635637
1170,11,0.332405672557734,29.233349623026694
970,11,10.852942621357931,40.79829324119902
967,11,0.0,0.0
1185,11,0.16744967067714445,6.987881638661408
955,11,13.49219071725436,81.07230619219456
952,11,1.126270007612451,4.139928211355226e-06
689,11,45.016600268752214,3.444519566621117
784,11,73.1058578630005,2.4924426647114037
945,11,20.14019742692471,10.26853421037234
799,11,35.43436937742045,0.17729545947921427
942,11,13.597718117216573,11.907952744613132
935,11,28.36943710765709,31.517797097744015
932,11,20.1394730230366,98.18903954619222
917,11,1.2980677511355565,7.046942767385678
915,11,0.0,0.0
865,11,0.981743236553767,29.9560411902285
902,11,4.450612338517457,15.821613954336232
875,11,0.0,0.0
880,11,0.12574907565211513,1.774589824927264
882,11,25.551484285702596,77.61617259904207
890,11,0.0,0.0
1280,11,11.513278430622165,52.484961354166856
493,11,7.73632549370179,4.909970754341445
999,11,57.094659688346624,0.24726231566347742
666,11,0.0,0.0
500,11,30.411245487289733,15.311329305500005
510,11,20.232685198261706,6.603723414775317
520,11,38.27013783358847,29.15090700732507
1081,11,14.363935819738094,38.07970779778823
535,11,0.0,0.0
1071,11,7.030220986418767,10.85992474281503
550,11,5.815991551068011,58.920751372951706
1395,11,0.0,0.0
1061,11,20.787242170337606,42.81178625954123
1057,11,0.0,0.0
1380,11,17.38480383926444,46.666130081855556
570,11,5.815991551068011,58.920751372951706
1140,11,0.3275248704444733,27.102495936371962
1160,11,0.0,0.0
900,11,0.0187647833130411,0.08656533256982124
585,11,2.275976282987824,5.5965046540930485
1360,11,16.836189676311076,36.699330619359976
601,11,16.125073196515938,11.673029886548276
606,11,23.699440121076748,20.015669111734095
1042,11,37.66296176037448,1.7276539562990971
611,11,16.125073196515938,11.673029886548276
616,11,23.699440121076748,20.015669111734095
621,11,0.0,0.0
1150,11,0.3275248704444733,27.102495936371962
626,11,0.0,0.0
631,11,8.979868725278095,46.21171572600098
641,11,6.745502442123463,23.10585786300049
651,11,2.927704837374223,38.07970779778823
1370,11,14.509863646222698,18.576872487607275
724,11,0.0,0.0
560,11,5.486652448044927,40.79829324119902
1559,11,0.0,0.0
189,11,16.496319854136722,57.50334580242878
1569,11,0.9252602653316955,54.86330548236486
194,11,0.0,0.0
37,11,0.0,0.0
184,11,10.82159793915245,31.81396433936256
199,11,13.568615016762497,13.499965062878957
234,11,0.0,0.0
28,11,7.063805432768511,7.552282989077708
239,11,2.6130549965587835,0.8123386980044965
22,11,2.427146130956126,55.99757771532754
204,11,10.82159793915245,31.81396433936256
43,11,0.0,0.0
224,11,16.496319854136722,57.50334580242878
169,11,0.0,0.0
307,11,14.948314365511195,2.524209303546019
18,11,5.78719700591519,0.6357500793818378
